*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=launch computer v1
*Date=14:57:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
172;;;58.993;-26.0594;0;Bottom;Via718
173;;;122.493;-8.27928;0;Bottom;Via702
174;;;46.266;-7.25312;0;Bottom;Copper Fill54
175;;;59.7038;-78.3147;90;Bottom;TXT1
176;220;THT;46.2931;-31.1393;0;Bottom;R1
177;;;112.527;-95.102;-90;Bottom;TXT2
178;;;145.353;-5.73928;0;Bottom;Hole3
179;;THT;108.523;-15.8993;90;Bottom;J63
180;;;84.7754;-20.4491;-90;Bottom;TXT2
181;;;66.7547;-20.0314;-90;Bottom;TXT2
182;;;5.6261;-15.0509;0;Bottom;Copper Fill59
183;;;145.451;-5.19552;0;Top;blkr5
184;;;69.9769;-38.8126;0;Bottom;Copper Fill44
185;;;59.0541;-2.34282;0;Bottom;TXT1
186;;;140.389;-57.5282;0;Bottom;blkr10
187;;;97.093;-41.2994;0;Bottom;Via715
188;;;92.0241;-54.0654;0;Bottom;Copper Fill2
189;;;61.5331;-8.27928;0;Bottom;Via721
190;;;120.371;-38.7618;0;Bottom;Copper Fill38
191;;;13.2461;-40.4509;0;Bottom;Copper Fill15
192;;;66.586;-24.4489;0;Bottom;Copper Fill16
193;;;115.096;-95.0928;-90;Bottom;TXT2
194;;;145.983;-110.409;0;Bottom;blkr12
195;;;112.255;-39.2571;0;Bottom;Copper Fill9
196;;;140.62;-57.5977;0;Top;blkr3
197;;THT;113.603;-99.7193;90;Bottom;J68
198;;THT;93.2831;-99.7193;90;Bottom;J43
199;;THT;67.893;-23.4806;90;Bottom;J22
200;;;44.096;-109.992;0;Bottom;TXT4
201;;;122.493;-107.339;0;Bottom;Via712
202;;;74.9808;-57.5198;0;Bottom;Copper Fill5
203;;;114.873;-76.8593;0;Bottom;Via642
204;;;8.1661;-48.1217;0;Bottom;Copper Fill60
